School,YrLevel,Domain,Test Year,Test level,Jurisdiction Id,ACARA ID,PSI,Local school student ID,TAA student ID,Participation Code,Item Response,Test Id,Word Count,Date,StartTime
hbw2,3,Writing,2020,3,9,hbw2,HBW2-3-011,,,C,,x00165953,0,,
hbw2,,Writing,2020,,9,hbw2,HBW2-7-015,,,C,,x00166767,0,,
hbw2,7,Writing,2020,7,9,hbw2,HBW2-7-029,,,C,,x00165944,0,,
lnb1,,Writing,2020,,9,lnb1,LNB1-5-003,,,C,"<p></p>
<p><span style=""font-size: 18px;"">Day-2 Writing check</span>, first s<span style=""font-size: 28px;"">entence is in black.</span></p>
<p><strong>Day-2 Writing check,</strong> f<em>irst sentence is in black</em>.</p>
<p><span style=""text-decoration: underline;"">Day-2 Writing check, first sentence is in black.</span></p>
<p><span style=""text-decoration: underline;""><em>Day-2 Writing check, first sentence is in black.</em></span></p>
<p><span style=""text-decoration: underline;""><em>Day-2 Writing check, first sentence is in black.</em></span></p>
<p style=""text-align: center;""><span style=""font-size: 26px;"">Day-2 Writing check, first sentence is in black.</span></p>
<p style=""text-align: center;""><span style=""font-size: 26px;"">Day-2 Writing check, first sentence is in black.</span></p>
<ul>
<li>Day-2 Writing check, first sentence is in black.</li>
<li>Day-2 Writing check, first sentence is in black.</li>
<li>Day-2 Writing check, first sentence is in black.</li>
<li>Day-2 Writing check, first sentence is in black.</li>
</ul>
<ol>
<li>Day-2 Writing check, first sentence is in black.</li>
<li>Day-2 Writing check, first sentence is in black.</li>
<li>Day-2 Writing check, first sentence is in black.</li>
<li>Day-2 Writing check, first sentence is in black.</li>
</ol>
<p>check, first sentence is in black.Day-2 Writing&nbsp;</p>
<p>first sentence is infirst sentence is infirst sentence is infirst sentence is in</p>
<p></p>
<p></p>",x00166771,156,2020-11-03,16:20:50.2230000+00:00
lnb1,9,Writing,2020,9,9,lnb1,LNB1-9-018,,,C,,x00165949,0,,
lnb2,7,Writing,2020,7,9,lnb2,LNB2-7-006,,,C,"<p></p>
<p>BLUE TEXT</p>
<p></p>",x00165946,2,2020-11-13,10:36:48.4630000+00:00
hbw1,3,Writing,2020,3,9,hbw1,HBW1-3-004,,,C,,x00165953,0,,
hbw1,7,Writing,2020,7,9,hbw1,HBW1-7-008,,,P,"<p>&nbsp;</p>
<h1 style=""box-sizing:border-box;font-size:36.47999954223633px;margin:20px 0px 10px;font-family:Helvetica, Arial, sans-serif;font-weight:500;line-height:1.2;color:#000000;padding:20px 15px;text-align:center;""><span style=""text-decoration:underline;""><em><strong>The&nbsp;big climb</strong></em></span></h1>
<p>&nbsp;</p>
<ul>
<li>Free Willy is the movies I love.</li>
<li>As you have a whale which is caught by the acquatic show people who want to earn money. The audiences loved to see the whale and his performance with the child who trained it.</li>
</ul>
<p>Free Willy is the movies I love. As you have a whale which is caught by the acquatic show people who want to earn money. The audiences loved to see the whale and his performance with the child who trained it.Free Willy is the movies I love. As you have a whale which is caught by the acquatic show people who want to earn money. The audiences loved to see the whale and his performance with the child who trained it.Free Willy is the movies I love. As you have a whale which is caught by the acquatic show people who want to earn money. The audiences loved to see the whale and his performance with the child who trained it.Free Willy is the movies I love. As you have a whale which is caught by the acquatic show people who want to earn money. The audiences loved to see the whale and his performance with the child who trained it.Free Willy is the movies I love. As you have a whale which is caught by the acquatic show people who want to earn money. The audiences loved to see the whale and his performance with the child who trained it.Free Willy is the movies I love. As you have a whale which is caught by the acquatic show people who want to earn money. The audiences loved to see the whale and his performance with the child who trained it.Free Willy is the movies I love. As you have a whale which is caught by the acquatic show people who want to earn money. The audiences loved to see the whale and his performance with the child who trained it.</p>",x00165944,325,2020-10-27,10:15:33.5630000+00:00
hbw2,3,Writing,2020,3,9,hbw2,HBW2-3-012,,,C,,x00165953,0,,
hbw2,,Writing,2020,,9,hbw2,HBW2-7-016,,,C,,x00166767,0,,
hbw2,7,Writing,2020,7,9,hbw2,HBW2-7-030,,,C,,x00165944,0,,
lnb1,5,Writing,2020,5,9,lnb1,LNB1-5-004,,,C,"<p></p>
<p><span style=""font-size: 20px;"">Day-2 writing check</span>, fir<span style=""font-size: 24px;"">st line is in Red</span>.</p>
<p><strong>Day-2 writing check, first line is in Red.</strong></p>
<p><em>Day-2 writing check, first line is in Red.</em></p>
<p><em>Day-2 writing check, first line is in Red.</em></p>
<p><span style=""text-decoration: underline;"">Day-2 writing check, first line is in Red.</span></p>
<p style=""text-align: center;""><span style=""font-size: 26px;"">Day-2 writing check, first line is in Red.</span></p>
<ul>
<li>Day-2 writing check, first line is in Red.</li>
<li>Day-2 writing check, first line is in Red.</li>
<li>Day-2 writing check, first line is in Red.</li>
</ul>
<ol>
<li>Day-2 writing check, first line is in Red.</li>
<li>Day-2 writing check, first line is in Red.</li>
<li>Day-2 writing check, first line is in Red.</li>
<li>Day-2 writing check, first line is in Red.</li>
</ol>
<p>first line is in Red.</p>
<p>Day-2 writing check, first line is in Red.&nbsp;Day-2 writing check,</p>
<p>first line is in Red first line is in Red first line is in Red first line is in Red</p>",x00165942,155,2020-11-03,16:25:06.7570000+00:00
lnb1,9,Writing,2020,9,9,lnb1,LNB1-9-019,,,P,,x00165948,0,2020-11-02,16:14:11.3300000+00:00
lnb2,,Writing,2020,,9,lnb2,LNB2-7-007,,,C,,x00166767,0,,
hbw1,3,Writing,2020,3,9,hbw1,HBW1-3-005,,,C,,x00165953,0,,
hbw1,7,Writing,2020,7,9,hbw1,HBW1-7-009,,,P,"<h1 style=""box-sizing:border-box;font-size:36.47999954223633px;margin:20px 0px 10px;font-family:Helvetica, Arial, sans-serif;font-weight:500;line-height:1.2;color:#000000;padding:20px 15px;text-align:center;""><span style=""text-decoration:underline;""><em><strong><span style=""font-size:28px;"">The&nbsp;big climb</span></strong></em></span></h1>
<ul>
<li></li>
</ul>
<p style=""box-sizing:border-box;margin:0px 0px 10px;font-family:Helvetica, Arial, sans-serif;font-size:15.199999809265137px;color:#000000;line-height:1.2;padding:0px 15px;""><span style=""box-sizing:border-box;font-weight:bold;"">Think about:</span></p>
<ul style=""box-sizing:border-box;margin-top:0px;margin-bottom:10px;font-family:Helvetica, Arial, sans-serif;font-size:15.199999809265137px;"">
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">the characters and where they are</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">the complication or problem to be solved</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">how the story will end.</li>
</ul>
<p style=""box-sizing:border-box;margin:0px 0px 10px;font-family:Helvetica, Arial, sans-serif;font-size:15.199999809265137px;color:#000000;line-height:1.2;padding:0px 15px;""><span style=""box-sizing:border-box;font-weight:bold;"">Remember to:</span></p>
<ul style=""box-sizing:border-box;margin-top:0px;margin-bottom:10px;font-family:Helvetica, Arial, sans-serif;font-size:15.199999809265137px;"">
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">plan your story before you start</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">choose your words carefully</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">write in sentences</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">pay attention to your spelling, punctuation and paragraphs</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">check and edit your writing.</li>
</ul>",x00165944,51,2020-10-27,10:22:13.5370000+00:00
hbw2,3,Writing,2020,3,9,hbw2,HBW2-3-013,,,C,,x00165953,0,,
hbw2,,Writing,2020,,9,hbw2,HBW2-7-017,,,C,,x00166767,0,,
hbw2,9,Writing,2020,9,9,hbw2,HBW2-9-001,,,P,"<p>text text text</p>
<p>fdsf</p>
<p>sdf</p>
<p>sdf</p>
<p>sddfas</p>
<p>dff</p>
<p>asdf</p>",x00165949,9,2020-11-13,10:06:30.0330000+00:00
lnb1,5,Writing,2020,5,9,lnb1,LNB1-5-005,,,C,"<p></p>
<p><span style=""font-size: 22px;"">Day-2 writing check, first</span> sentence is in Red.</p>
<p><strong>Day-2 writing check, first sentence is in Red.</strong></p>
<p><em>Day-2 writing check, first sentence is in Red.</em></p>
<p><span style=""text-decoration: underline;"">Day-2 writing check, first sentence is in Red.</span></p>
<p style=""text-align: center;""><span style=""font-size: 28px;"">-2 writing check, first sentence is in Red.</span></p>
<ul>
<li>Day-2 writing check, first sentence is in Red.Day</li>
<li>Day-2 writing check, first sentence is in Red.</li>
<li>Day-2 writing check, first sentence is in Red.</li>
</ul>
<ol>
<li>Day-2 writing check, first sentence is in Red.</li>
<li>Day-2 writing check, first sentence is in Red.</li>
<li>Day-2 writing check, first sentence is in Red.</li>
<li></li>
<li>Daysentence is in Red.&nbsp; &nbsp;-2 writing check, first&nbsp;&nbsp;heck, first&nbsp;</li>
</ol>
<p></p>",x00165942,108,2020-11-03,16:29:46.8570000+00:00
lnb1,,Writing,2020,,9,lnb1,LNB1-9-020,,,P,,x00166769,0,2020-11-04,11:06:48.2630000+00:00
lnb2,7,Writing,2020,7,9,lnb2,LNB2-7-008,,,C,,x00165946,0,,
hbw1,3,Writing,2020,3,9,hbw1,HBW1-3-006,,,C,,x00165953,0,,
hbw1,7,Writing,2020,7,9,hbw1,HBW1-7-010,,,P,"<h1 style=""box-sizing:border-box;font-size:36.47999954223633px;margin:20px 0px 10px;font-family:Helvetica, Arial, sans-serif;font-weight:500;line-height:1.2;color:#000000;padding:20px 15px;text-align:center;"">The&nbsp;big climb</h1>
<ol>
<li>Write a narrative (story) about a big climb.</li>
<li>Your story might be about characters climbing up, down, over, under, out, through or even away.</li>
<li>It might involve overcoming a barrier or reaching a goal.</li>
<li>You can use an idea on this page or you can use your own idea about a big climb.</li>
</ol>
<p style=""box-sizing:border-box;margin:0px 0px 10px;font-family:Helvetica, Arial, sans-serif;font-size:15.199999809265137px;color:#000000;line-height:1.2;padding:0px 15px;""><span style=""box-sizing:border-box;font-weight:bold;"">Think about:</span></p>
<ul style=""box-sizing:border-box;margin-top:0px;margin-bottom:10px;font-family:Helvetica, Arial, sans-serif;font-size:15.199999809265137px;"">
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">the characters and where they are</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">the complication or problem to be solved</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">how the story will end.</li>
</ul>
<p style=""box-sizing:border-box;margin:0px 0px 10px;font-family:Helvetica, Arial, sans-serif;font-size:15.199999809265137px;color:#000000;line-height:1.2;padding:0px 15px;""><span style=""box-sizing:border-box;font-weight:bold;"">Remember to:</span></p>
<ul style=""box-sizing:border-box;margin-top:0px;margin-bottom:10px;font-family:Helvetica, Arial, sans-serif;font-size:15.199999809265137px;"">
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">plan your story before you start</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">choose your words carefully</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">write in sentences</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">pay attention to your spelling, punctuation and paragraphs</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">check and edit your writing.</li>
</ul>
<p><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;"">Write a narrative (story) about a big climb. Your story might be about characters climbing up, down, over, under, out, through or even away. It might involve overcoming a barrier or reaching a goal. You can use an idea on this page, or you can use your own idea about a big climb.</span><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;"">Write a narrative (story) about a big climb. Your story might be about characters climbing up, down, over, under, out, through or even away. It might involve overcoming a barrier or reaching a goal. You can use an idea on this page, or you can use your own idea about a big climb.</span><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;"">Write a narrative (story) about a big climb. Your story might be about characters climbing up, down, over, under, out, through or even away. It might involve overcoming a barrier or reaching a goal. You can use an idea on this page, or you can use your own idea about a big climb.</span></p>",x00165944,261,2020-10-27,10:26:26.5330000+00:00
hbw2,3,Writing,2020,3,9,hbw2,HBW2-3-014,,,C,,x00165953,0,,
hbw2,,Writing,2020,,9,hbw2,HBW2-7-018,,,C,,x00166767,0,,
hbw2,9,Writing,2020,9,9,hbw2,HBW2-9-002,,,C,,x00165947,0,,
lnb1,5,Writing,2020,5,9,lnb1,LNB1-5-006,,,C,"<p></p>
<p style=""text-align: center;""><span style=""font-size: 30px;"">Day-2, first sentence is in Red</span></p>
<p><strong>Day-2, first sentence is in Red</strong></p>
<p><em><strong>Day-2, first sentence i</strong>s in Red</em></p>
<p><em>Day-2, first sentence is in Red</em></p>
<p><span style=""text-decoration: underline;"">Day-2, first sentence is in Red</span></p>
<p><span style=""text-decoration: underline;""><em><strong>Day-2, first sentence is in Red</strong></em></span></p>
<p><span style=""text-decoration: underline;""><em><strong>Day-2, first sentence is in Red</strong></em></span></p>
<p></p>
<ul>
<li>Day-2, first sentence is in Red</li>
<li>Day-2, first sentence is in Red</li>
<li>Day-2, first sentence is in Red</li>
<li>Day-2, first sentence is in Red</li>
</ul>
<p>Day-2, first sentence is in Red</p>
<ol>
<li>Day-2, first sentence is in Red</li>
<li>Day-2, first sentence is in Red</li>
<li>Day-2, first sentence is in Red</li>
</ol>
<p>ce is in Red&nbsp;irst sentence is in Red</p>
<p>Day-2, first sentence is in Red</p>
<p>Day-2, first senten</p>",x00165942,125,2020-11-03,16:33:52.9400000+00:00
lnb1,,Writing,2020,,9,lnb1,LNB1-9-021,,,P,,x00166769,0,2020-11-02,16:15:13.9700000+00:00
lnb2,7,Writing,2020,7,9,lnb2,LNB2-7-009,,,C,,x00165946,0,,
hbw1,3,Writing,2020,3,9,hbw1,HBW1-3-007,,,C,,x00165953,0,,
hbw1,7,Writing,2020,7,9,hbw1,HBW1-7-011,,,P,"<p>Terrific climb</p>
<p>dfkgasdkfasd n sjdhfjssdkfs dkjsdfksnfkjsdkfskdfhkasdf jksd &nbsp;sadjkfasdf asdjfsdkfj.jksdhfjkasdfakjsdfdfn. dskhfksaernkl dsfkasdjfkasdfsdfrx,fnksdf. dfkhjadfk dskjfadsf</p>
<ul>
<li>dsf,gknkdf</li>
<li>dsfjkghadjf</li>
<li>dsfgkjsdhrjklg</li>
<li>sdjkfghsdklfk</li>
<li>sdflkgjdl;</li>
</ul>
<ol>
<li>dfgkjdskg</li>
<li>aldfjglkfd&nbsp;</li>
<li>kdfsgjlksdf</li>
<li>sdfkjgsdlfg</li>
<li>rjgjsdflgkssfglkjslg,<br>sfkngksfmg</li>
<li>hdfgkhadltk</li>
<li>fngksdgn.fdg,</li>
<li>lkfndkgjdlj,</li>
</ol>
<p>bdfkgnaldkfg./skljrglsdr&nbsp;<br>flkashdflkaekf;a,kfhjksdfgjfkgljdlkf l;fdgladfdfglksdflgks</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>b.fgkjhklfsgjhslfgjhlsfgsfljslgh</p>
<p>slksjfgljsflgs</p>
<p>fg'sdnfgkdjlgksdflg&nbsp;</p>
<p>&nbsp; khdfvkadsfm;as'</p>
<p>sfjkghdflgka</p>
<p>kdjafhgkladkfl'aldflkasbdjfkhljflgjldafg;dfkg'ad;ga;djgoladfjgldf g.dfghkiaddjfladk;asf. kahsdgkasdnglkashdgklasjg;oasj;gf. KSHDFLAJDFADKFG;AKG;AD';GLDF;GJSDLFKGLnslfgjlsdfkg;. lkajdglkajdlgjsdlgk;dlfkg;apdkg'alg;adfgkadj;fga'pdlg' lksdjfglsdfgkdfg..kdfhgioadjfgdsfpgsd;fkg</p>",x00165944,64,2020-10-30,12:14:48.3600000+00:00
hbw2,3,Writing,2020,3,9,hbw2,HBW2-3-015,,,C,,x00165953,0,,
hbw2,7,Writing,2020,7,9,hbw2,HBW2-7-019,,,C,,x00165944,0,,
hbw2,9,Writing,2020,9,9,hbw2,HBW2-9-003,,,C,,x00165947,0,,
lnb1,5,Writing,2020,5,9,lnb1,LNB1-5-007,,,P,,x00165942,0,2020-11-02,10:57:43.0800000+00:00
lnb1,9,Writing,2020,9,9,lnb1,LNB1-9-022,,,P,,x00165948,0,2020-11-04,11:02:54.0830000+00:00
lnb2,,Writing,2020,,9,lnb2,LNB2-7-010,,,C,"<p></p>
<p>blck text</p>
<p></p>",x00166767,2,2020-11-13,10:40:03.2170000+00:00
hbw1,3,Writing,2020,3,9,hbw1,HBW1-3-008,,,C,,x00165953,0,,
hbw1,,Writing,2020,,9,hbw1,HBW1-7-012,,,P,"<p style=""text-align:center;""><em><span style=""text-decoration:underline;""><span style=""font-size:28px;""><strong>Remember</strong></span></span></em></p>
<p>&nbsp;</p>
<p style=""box-sizing:border-box;margin:0px 0px 10px;font-family:Helvetica, Arial, sans-serif;font-size:15.199999809265137px;line-height:1.2;padding:0px 15px;""><span style=""box-sizing:border-box;font-weight:bold;"">Remember to:</span></p>
<ul style=""box-sizing:border-box;margin-top:0px;margin-bottom:10px;caret-color:#666666;color:#666666;font-family:Helvetica, Arial, sans-serif;font-size:15.199999809265137px;"">
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">plan your story before you start</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">choose your words carefully</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">write in sentences</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">pay attention to your spelling, punctuation and paragraphs</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">check and edit your writing.<span style=""font-weight:bold;"">Remember to:</span>
<ul style=""box-sizing:border-box;margin-top:0px;margin-bottom:10px;color:#666666;"">
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">plan your story before you start</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">choose your words carefully</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">write in sentences</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">pay attention to your spelling, punctuation and paragraphs</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">check and edit your writing.<span style=""font-weight:bold;"">Remember to:</span></li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">SLAKDFJKLASD</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">AKFHJKLASD</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">HKASDJF&nbsp;
<ul style=""box-sizing:border-box;margin-top:0px;margin-bottom:10px;color:#666666;"">
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">plan your story before you start</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">choose your words carefully</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">write in sentences</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">pay attention to your spelling, punctuation and paragraphs</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">check and edit your writing.</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">dsjfbasjkfhs d</li>
<li style=""box-sizing:border-box;color:#000000;line-height:1.2;padding:0px 15px;"">dklsDKasjdl</li>
</ul>
</li>
</ul>
</li>
</ul>",x00166767,89,2020-10-30,12:20:09.6530000+00:00
hbw2,3,Writing,2020,3,9,hbw2,HBW2-3-016,,,C,,x00165953,0,,
hbw2,7,Writing,2020,7,9,hbw2,HBW2-7-020,,,C,,x00165944,0,,
hbw2,9,Writing,2020,9,9,hbw2,HBW2-9-004,,,C,,x00165947,0,,
lnb1,,Writing,2020,,9,lnb1,LNB1-5-008,,,P,,x00166771,0,2020-11-04,09:54:08.8700000+00:00
lnb1,,Writing,2020,,9,lnb1,LNB1-5-019,,,P,,x00166771,0,2020-11-02,11:03:35.9070000+00:00
lnb1,9,Writing,2020,9,9,lnb1,LNB1-9-023,,,P,,x00165948,0,2020-11-02,16:18:51.6470000+00:00
lnb2,,Writing,2020,,9,lnb2,LNB2-7-011,,,C,,x00166767,0,,
hbw1,3,Writing,2020,3,9,hbw1,HBW1-3-009,,,C,,x00165953,0,,
hbw1,,Writing,2020,,9,hbw1,HBW1-7-013,,,P,"<p>The big climb</p>
<p>Conventions of language has 2 papers, grammar section and spelling section.&nbsp;</p>
<ul>
<li>Grammar</li>
<li>Spelling</li>
</ul>
<p>There is also reading, writing and numeracy tests that decide your ability in NAPLAN.</p>
<ol>
<li>rghr</li>
<li>dkjghae</li>
<li>sdrlkj</li>
<li>rkghuerk</li>
<li>dgfkjhar</li>
</ol>
<p>The big climb</p>
<p>Conventions of language has 2 papers, grammar section and spelling section.&nbsp;</p>
<ul>
<li>Grammar</li>
<li>Spelling</li>
</ul>
<p>There is also reading, writing and numeracy tests that decide your ability in NAPLAN.</p>
<ol>
<li>rghr</li>
<li>dkjghae</li>
<li>sdrlkj</li>
<li>rkghuerk</li>
<li>dgfkjharThe big climb
<p>Conventions of language has 2 papers, grammar section and spelling section.&nbsp;</p>
<ul>
<li>Grammar</li>
<li>Spelling</li>
</ul>
<p>There is also reading, writing and numeracy tests that decide your ability in NAPLAN.</p>
<ol>
<li>rghr</li>
<li>dkjghae</li>
<li>sdrlkj</li>
<li>rkghuerk</li>
<li>dgfkjharThe big climb
<p>Conventions of language has 2 papers, grammar section and spelling section.&nbsp;</p>
<ul>
<li>Grammar</li>
<li>Spelling</li>
</ul>
<p>There is also reading, writing and numeracy tests that decide your ability in NAPLAN.</p>
<ol>
<li>rghr</li>
<li>dkjghae</li>
<li>sdrlkj</li>
<li>rkghuerk</li>
<li>dgfkjharThe big climb
<p>Conventions of language has 2 papers, grammar section and spelling section.&nbsp;</p>
<ul>
<li>Grammar</li>
<li>Spelling</li>
</ul>
<p>There is also reading, writing and numeracy tests that decide your ability in NAPLAN.</p>
<ol>
<li>rghr</li>
<li>dkjghae</li>
<li>sdrlkj</li>
<li>rkghuerk</li>
<li>dgfkjharThe big climb
<p>Conventions of language has 2 papers, grammar section and spelling section.&nbsp;</p>
<ul>
<li>Grammar</li>
<li>Spelling</li>
</ul>
<p>There is also reading, writing and numeracy tests that decide your ability in NAPLAN.</p>
<ol>
<li>rghr</li>
<li>dkjghae</li>
<li>sdrlkj</li>
<li>rkghuerk</li>
<li>dgfkjhar</li>
</ol>
</li>
</ol>
</li>
</ol>
</li>
</ol>
</li>
</ol>
<p>&nbsp;</p>",x00166767,206,2020-10-30,12:28:31.6930000+00:00
hbw2,3,Writing,2020,3,9,hbw2,HBW2-3-017,,,C,,x00165953,0,,
hbw2,9,Writing,2020,9,9,hbw2,HBW2-9-005,,,C,,x00165947,0,,
lnb1,,Writing,2020,,9,lnb1,LNB1-5-009,,,P,,x00166771,0,2020-11-02,10:41:51.2400000+00:00
lnb1,5,Writing,2020,5,9,lnb1,LNB1-5-020,,,P,,x00165942,0,2020-11-04,10:05:14.6670000+00:00
